,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,average_monthly_charges,validate_monthly_charges,contract_type_desc,phone_type_desc,internet_type_desc,payment_is_automatic
0,1371-DWPAZ,Female,0,Yes,Yes,0,1,2,Credit card (automatic),56.05,,No,0,True,False,False,True,False,3,20210727,0.0,False,2 Year,No Phone Service,DSL,True
1,2520-SGTTA,Female,0,Yes,Yes,1,0,2,Mailed check,20.0,,No,0,True,False,True,False,False,3,20210727,0.0,False,2 Year,One Line,No Internet Service,False
2,2775-SEFEE,Male,0,No,Yes,2,1,2,Bank transfer (automatic),61.9,,No,0,False,False,True,True,True,2,20210727,0.0,False,2 Year,Two or More Lines,DSL,True
3,2923-ARZLG,Male,0,Yes,Yes,1,0,1,Mailed check,19.7,,No,0,False,False,True,False,False,3,20210727,0.0,False,1 Year,One Line,No Internet Service,False
4,3115-CZMZD,Male,0,No,Yes,1,0,2,Mailed check,20.25,,No,0,False,False,True,False,False,2,20210727,0.0,False,2 Year,One Line,No Internet Service,False
5,3213-VVOLG,Male,0,Yes,Yes,2,0,2,Mailed check,25.35,,No,0,False,False,True,False,False,3,20210727,0.0,False,2 Year,Two or More Lines,No Internet Service,False
6,4075-WKNIU,Female,0,Yes,Yes,2,1,2,Mailed check,73.35,,No,0,True,False,True,True,True,3,20210727,0.0,False,2 Year,Two or More Lines,DSL,False
7,4367-NUYAO,Male,0,Yes,Yes,2,0,2,Mailed check,25.75,,No,0,False,False,True,False,False,3,20210727,0.0,False,2 Year,Two or More Lines,No Internet Service,False
8,4472-LVYGI,Female,0,Yes,Yes,0,1,2,Bank transfer (automatic),52.55,,No,0,True,False,False,True,False,3,20210727,0.0,False,2 Year,No Phone Service,DSL,True
9,5709-LVOEQ,Female,0,Yes,Yes,1,1,2,Mailed check,80.85,,No,0,True,False,True,True,True,3,20210727,0.0,False,2 Year,One Line,DSL,False
10,7644-OMVMY,Male,0,Yes,Yes,1,0,2,Mailed check,19.85,,No,0,False,False,True,False,False,3,20210727,0.0,False,2 Year,One Line,No Internet Service,False
11,0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,65.6,593.3,No,9,True,False,True,True,True,3,20201024,65.6,True,1 Year,One Line,DSL,False
12,0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,59.9,542.4,No,9,False,False,True,True,True,0,20201024,59.9,True,Month-to-Month,Two or More Lines,DSL,False
